,,,,,,,,,,
"CUADRO No.-35
TRANSPORTE AÉREO INTERNACIONAL
PARTICIPACIÓN PORCENTUAL DE LAS RUTAS CON MAYOR MOVIMIENTO DE CARGA
ENTRADA Y SALIDA POR EL AEROPUERTO MARISCAL SUCRE",,,,,,,,,,
,,,,,,,,ÍNDICE>>,,
CARGA,,,,,,,,,,
E N T R A D A,,,,S A L I D A,,,,,,
          R U T A,,,      %,RUTA,,,   %,,,
MIAMI, - ,QUITO,49.1%,QUITO, - ,ÁMSTERDAM,42.3%,,,
MADRID, - ,QUITO,11.9%,QUITO, - ,MIAMI,36.0%,,,
ÁMSTERDAM, - ,QUITO,11.2%,QUITO, - ,BOGOTÁ,5.9%,,,
BUENOS AIRES, - ,QUITO,6.3%,QUITO, - ,MADRID,5.3%,,,
SANTIAGO, - ,QUITO,5.6%,QUITO, - ,FRÁNCFORT,3.2%,,,
BOGOTÁ, - ,QUITO,4.3%,QUITO, - ,PANAMÁ,1.9%,,,
PANAMÁ, - ,QUITO,3.3%,QUITO, - ,MÉXICO,1.0%,,,
LIMA, - ,QUITO,2.8%,QUITO, - ,LIMA,0.9%,,,
MÉXICO, - ,QUITO,2.8%,QUITO, - ,ATLANTA,0.8%,,,
VIRACOPOS/CAMPINAS, - ,QUITO,1.4%,QUITO, - ,NEW YORK,0.7%,,,
NEW YORK, - ,QUITO,0.4%,QUITO, - ,EL SALVADOR,0.6%,,,
EL SALVADOR, - ,QUITO,0.4%,QUITO, - ,AGUADILLA,0.3%,,,
TENERIFE, - ,QUITO,0.2%,QUITO, - ,FORT LAUDERDALE,0.2%,,,
HOUSTON, - ,QUITO,0.2%,QUITO, - ,BUENOS AIRES,0.2%,,,
ATLANTA, - ,QUITO,0.1%,QUITO, - ,HOUSTON,0.2%,,,
FRÁNCFORT, - ,QUITO,0.1%,QUITO, - ,SAO PAULO,0.1%,,,
CURITIBA, - ,QUITO,0.1%,QUITO, - ,CARACAS,0.1%,,,
 - , - , - , - ,QUITO, - ,HABANA,0.1%,,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,
Fuente: Dirección General de Aviación Civil - 2015,,,,,,,,,,
,,,,,,,,,,
