,,,,,,,,
"CUADRO No .-12
NÚMERO DE VEHÍCULOS MOTORIZADOS MATRICULADOS, POR PROVINCIA, SEGÚN CAPACIDAD DE TONELAJE",,,,,,,,
,,,,,,,,ÍNDICE>>
PROVINCIA,TOTAL DE TONELADAS,TOTAL DE VEHÍCULOS,CAPACIDAD EN TONELADAS,,,,,
,,,1/4 A 3,3 1/4 A 6,6 1/4 A 10,10 1/4 A 15,15 1/4 Y MÁS,
TOTAL," 1,428,226 "," 545,561 "," 448,262 "," 55,180 "," 17,387 "," 10,637 "," 14,095 ",
AZUAY,85250,38599,33346,3040,938,505,770,
BOLÍVAR,18763," 7,419 "," 6,036 ", 713 , 372 , 207 , 91 ,
CAÑAR,32833," 13,361 "," 11,216 "," 1,147 ", 466 , 223 , 309 ,
CARCHI,24818," 7,002 "," 5,236 ", 926 , 236 , 305 , 299 ,
COTOPAXI,59170," 22,180 "," 18,392 "," 1,882 ", 795 , 556 , 555 ,
CHIMBORAZO,48222," 22,126 "," 19,106 "," 1,699 ", 586 , 408 , 327 ,
EL ORO,73508," 27,085 "," 21,914 "," 2,894 ", 997 , 533 , 747 ,
ESMERALDAS,30761," 11,948 "," 9,497 "," 1,590 ", 437 , 201 , 223 ,
GUAYAS,264662," 91,198 "," 71,956 "," 11,372 "," 3,179 "," 1,778 "," 2,913 ",
IMBABURA,34209," 14,834 "," 12,492 "," 1,476 ", 350 , 263 , 253 ,
LOJA,53117," 21,548 "," 18,078 "," 1,887 ", 657 , 417 , 509 ,
LOS RÍOS,71881," 25,657 "," 20,074 "," 3,393 "," 1,138 ", 500 , 552 ,
MANABÍ,99435," 43,073 "," 36,685 "," 3,697 "," 1,313 ", 549 , 829 ,
MORONA SANTIAGO,11897," 4,361 "," 3,561 ", 375 , 166 , 138 , 121 ,
NAPO,7352," 2,618 "," 2,121 ", 232 , 99 , 68 , 98 ,
PASTAZA,9841," 3,140 "," 2,441 ", 327 , 120 , 106 , 146 ,
PICHINCHA,323951," 120,284 "," 99,527 "," 11,538 "," 3,124 "," 2,381 "," 3,714 ",
TUNGURAHUA,75530," 34,297 "," 29,531 "," 2,630 ", 896 , 718 , 522 ,
ZAMORA CHINCHIPE,8289," 2,835 "," 2,225 ", 309 , 135 , 64 , 102 ,
GALÁPAGOS,914, 558 , 484 , 62 , 7 , 4 , 1 ,
SUCUMBÍOS,16381," 5,199 "," 3,924 ", 762 , 195 , 109 , 209 ,
ORELLANA,18646," 4,269 "," 3,031 ", 526 , 206 , 146 , 360 ,
SANTO DOMINGO DE LOS TSÁCHILAS,45224," 16,918 "," 13,410 "," 2,089 ", 744 , 347 , 328 ,
SANTA ELENA,13572," 5,052 "," 3,979 ", 614 , 231 , 111 , 117 ,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,
Fuente: Agencia Nacional de Tránsito-2015,,,,,,,,
,,,,,,,,
,,,,,,,,
