,,,,,,,,,,,,
"CUADRO No.-30
TRANSPORTE AÉREO INTERNACIONAL REGULAR
CARGA, EN TM; ENTRADA Y SALIDA POR LOS AEROPUERTOS
DE QUITO, GUAYAQUIL, LATACUNGA Y ESMERALDAS, SEGÚN CIUDADES DE ORIGEN Y DESTINO",,,,,,,,,,,,
,,,,,,,,,,,ÍNDICE>>,
"CIUDADES DE
 ORIGEN Y DESTINO",CARGA,,,,,,,,,,,
,E N T R A D A ,,,,,S A L I D A ,,,,,,
,   TOTAL,QUITO,GUAYAQUIL,LATACUNGA,ESMERALDAS,   TOTAL,QUITO,GUAYAQUIL,LATACUNGA,ESMERALDAS,,
TOTAL," 23,360.56 "," 14,383.88 "," 8,316.84 ", 638.98 , 20.86 ," 68,567.55 "," 45,526.80 "," 14,761.71 "," 8,276.92 ", 2.13 ,,
MAASTRICHT, -   , -   , -   , -   , -   ," 1,526.99 ", -   , -   ," 1,526.99 ", -   ,,
LUXEMBURGO, -   , -   , -   , -   , -   ," 2,415.76 ", -   , -   ," 2,415.76 ", -   ,,
ÁMSTERDAM," 3,056.20 "," 2,191.02 ", 865.18 , -   , -   ," 23,431.01 "," 18,083.81 "," 1,053.46 "," 4,293.75 ", -   ,,
ATLANTA, 34.17 , 34.17 , -   , -   , -   , 506.88 , 506.88 , -   , -   , -   ,,
BOGOTÁ," 1,208.71 ", 920.03 , 288.68 , -   , -   ," 3,004.07 "," 2,463.55 ", 500.10 , 40.42 , -   ,,
BUENOS AIRES, 635.06 , 635.06 , -   , -   , -   , 58.05 , 58.05 , -   , -   , -   ,,
CALI, 41.54 , -   , 20.68 , -   , 20.86 , 14.51 , -   , 12.38 , -   , 2.13 ,,
CARACAS, 0.67 , 0.67 , -   , -   , -   , 1.83 , 1.83 , -   , -   , -   ,,
CURITIBA, 304.41 , 1.94 , -   , 302.47 , -   , -   , -   , -   , -   , -   ,,
DALLAS, 29.68 , 29.68 , -   , -   , -   , 18.16 , 18.16 , -   , -   , -   ,,
EL SALVADOR, 39.47 , 35.48 , 3.99 , -   , -   , 377.70 , 341.20 , 36.51 , -   , -   ,,
FRANKFURT, -   , -   , -   , -   , -   , 152.87 , 152.87 , -   , -   , -   ,,
FORT LAUDERDALE, 23.85 , -   , 23.85 , -   , -   , 272.20 , 37.30 , 234.90 , -   , -   ,,
HOUSTON, 53.96 , 53.96 , -   , -   , -   , 147.44 , 147.44 , -   , -   , -   ,,
LIMA," 1,069.56 ", 386.79 , 682.77 , -   , -   ," 2,702.29 ", 835.72 ," 1,866.56 ", -   , -   ,,
MADRID," 2,323.16 "," 1,945.52 ", 377.65 , -   , -   ," 4,132.37 "," 2,761.56 "," 1,370.81 ", -   , -   ,,
MANAOS, 224.18 , -   , -   , 224.18 , -   , -   , -   , -   , -   , -   ,,
MÉXICO, 54.87 , 54.87 , -   , -   , -   , 241.01 , 241.01 , -   , -   , -   ,,
MIAMI," 10,064.38 "," 5,711.27 "," 4,353.11 ", -   , -   ," 20,975.06 "," 17,700.02 "," 3,275.04 ", -   , -   ,,
NEW YORK, 488.00 , -   , 488.00 , -   , -   ," 4,708.40 ", 246.67 ," 4,461.73 ", -   , -   ,,
PANAMÁ," 1,633.71 ", 470.85 ," 1,162.86 ", -   , -   ," 3,327.58 "," 1,504.14 "," 1,823.44 ", -   , -   ,,
SAO PAULO, -   , -   , -   , -   , -   , 0.01 , 0.01 , -   , -   , -   ,,
SANTIAGO, 720.64 , 681.44 , 39.21 , -   , -   , 126.70 , -   , 126.70 , -   , -   ,,
VIRACOPOS," 1,337.30 "," 1,224.98 ", -   , 112.33 , -   , -   , -   , -   , -   , -   ,,
AGUADILLA, -   , -   , -   , -   , -   , 313.97 , 313.97 , -   , -   , -   ,,
GUATEMALA, 6.16 , 6.16 , -   , -   , -   , -   , -   , -   , -   , -   ,,
LA PAZ, 10.87 , -   , 10.87 , -   , -   , 0.07 , -   , 0.07 , -   , -   ,,
VIRU VIRU, -   , -   , -   , -   , -   , 0.97 , 0.97 , -   , -   , -   ,,
HABANA, -   , -   , -   , -   , -   , 111.64 , 111.64 , -   , -   , -   ,,
,,,,,,,,,,,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,,,
Fuente: Dirección General de Aviación Civil - 2016,,,,,,,,,,,,
