,,,,,,,,,,,
"CUADRO No.- 20
ACCIDENTES DE TRÁNSITO
NÚMERO DE VÍCTIMAS, SEGÚN PROVINCIAS",,,,,,,,,,,
,,,,ÍNDICE>>,,,,,,,
PROVINCIAS,TOTAL,V  Í  C  T  I  M  A  S,,,,,,,,,
,,MUERTOS ,HERIDOS ,,,,,,,,
TOTAL," 23,425 "," 1,967 "," 21,458 ",,,,,,,,
AZUAY," 1,007 ", 61 , 946 ,,,,,,,,
BOLÍVAR, 251 , 33 , 218 ,,,,,,,,
CAÑAR, 229 , 47 , 182 ,,,,,,,,
CARCHI, 172 , 34 , 138 ,,,,,,,,
COTOPAXI, 314 , 58 , 256 ,,,,,,,,
CHIMBORAZO, 368 , 77 , 291 ,,,,,,,,
EL ORO, 714 , 84 , 630 ,,,,,,,,
ESMERALDAS, 354 , 48 , 306 ,,,,,,,,
GUAYAS," 7,833 ", 458 ," 7,375 ",,,,,,,,
IMBABURA, 537 , 78 , 459 ,,,,,,,,
LOJA, 370 , 47 , 323 ,,,,,,,,
LOS RÍOS," 1,039 ", 135 , 904 ,,,,,,,,
MANABÍ," 1,107 ", 141 , 966 ,,,,,,,,
MORONA SANTIAGO, 249 , 36 , 213 ,,,,,,,,
NAPO, 115 , 13 , 102 ,,,,,,,,
PASTAZA, 102 , 11 , 91 ,,,,,,,,
PICHINCHA," 6,203 ", 331 ," 5,872 ",,,,,,,,
TUNGURAHUA, 937 , 93 , 844 ,,,,,,,,
ZAMORA CHINCHIPE, 95 , 11 , 84 ,,,,,,,,
GALÁPAGOS, 2 , -   , 2 ,,,,,,,,
SUCUMBÍOS, 123 , 40 , 83 ,,,,,,,,
ORELLANA, 59 , 20 , 39 ,,,,,,,,
SANTO DOMINGO DE LOS TSÁCHILAS, 756 , 68 , 688 ,,,,,,,,
SANTA ELENA, 489 , 43 , 446 ,,,,,,,,
Elaboración: Instituto Nacional de Estadística y Censos,,,,,,,,,,,
Fuente: Agencia Nacional de Tránsito-2016,,,,,,,,,,,
