Descripcion,url,archivoNombreNuevo,tipo
Archivo de defunciones    ,http://www.ecuadorencifras.gob.ec/documentos/web-inec/Poblacion_y_Demografia/Nacimientos_Defunciones/2017/Anuario_Nacimientos_y_Defunciones_2017.xlsx,Descargas/Defunciones_2017.xlsx,xlsx
Accidentes de transito y vehiculos matriculados 2000,http://www.ecuadorencifras.gob.ec//documentos/web-inec/Estadisticas_Economicas/Estadistica%20de%20Transporte/Publicaciones/Anuario_de_Estad_de_Transporte_2000.zip,Descargas/Transportes_2000,zip
Accidentes de transito y vehiculos matriculados 2001,http://www.ecuadorencifras.gob.ec//documentos/web-inec/Estadisticas_Economicas/Estadistica%20de%20Transporte/Publicaciones/Anuario_de_Estad_de_Transporte_2001.zip,Descargas/Transportes_2001,zip
Accidentes de transito y vehiculos matriculados 2002,http://www.ecuadorencifras.gob.ec//documentos/web-inec/Estadisticas_Economicas/Estadistica%20de%20Transporte/Publicaciones/Anuario_de_Estad_de_Transporte_2002.zip,Descargas/Transportes_2002,zip
Accidentes de transito y vehiculos matriculados 2003,http://www.ecuadorencifras.gob.ec//documentos/web-inec/Estadisticas_Economicas/Estadistica%20de%20Transporte/Publicaciones/Anuario_de_Estad_de_Transporte_2003.zip,Descargas/Transportes_2003,zip
Accidentes de transito y vehiculos matriculados 2004,http://www.ecuadorencifras.gob.ec//documentos/web-inec/Estadisticas_Economicas/Estadistica%20de%20Transporte/Publicaciones/Anuario_de_Estad_de_Transporte_2004.zip,Descargas/Transportes_2004,zip
Accidentes de transito y vehiculos matriculados 2005,http://www.ecuadorencifras.gob.ec//documentos/web-inec/Estadisticas_Economicas/Estadistica%20de%20Transporte/Publicaciones/Anuario_de_Estad_de_Transporte_2005.zip,Descargas/Transportes_2005,zip
Accidentes de transito y vehiculos matriculados 2006,http://www.ecuadorencifras.gob.ec//documentos/web-inec/Estadisticas_Economicas/Estadistica%20de%20Transporte/Publicaciones/Anuario_de_Estad_de_Transporte_2006.zip,Descargas/Transportes_2006,zip
Accidentes de transito 2007,http://anda.inec.gob.ec/anda/index.php/catalog/522/download/7652,Descargas/Transportes_2007,zip
Vehiculos matriculados 2007,http://anda.inec.gob.ec/anda/index.php/catalog/522/download/7651,Descargas/Transportes_2007,zip
Accidentes de transito 2008,http://anda.inec.gob.ec/anda/index.php/catalog/523/download/7661,Descargas/Transportes_2008,zip
Vehiculos matriculados 2008,http://anda.inec.gob.ec/anda/index.php/catalog/523/download/7661,Descargas/Transportes_2008,zip
Accidentes de transito 2009,http://anda.inec.gob.ec/anda/index.php/catalog/524/download/7673,Descargas/Transportes_2009,zip
Vehiculos matriculados 2009,http://anda.inec.gob.ec/anda/index.php/catalog/524/download/7672,Descargas/Transportes_2009,zip
Accidentes de transito 2010,http://anda.inec.gob.ec/anda/index.php/catalog/525/download/7684,Descargas/Transportes_2010,zip
Vehiculos matriculados 2010,http://anda.inec.gob.ec/anda/index.php/catalog/525/download/7685,Descargas/Transportes_2010,zip
Accidentes de transito 2011,http://anda.inec.gob.ec/anda/index.php/catalog/502/download/7223,Descargas/Transportes_2011,zip
Accidentes de transito y vehiculos matriculados 2012,http://anda.inec.gob.ec/anda/index.php/catalog/501/download/7216,Descargas/Transportes_2012,zip
Accidentes de transito y vehiculos matriculados 2013,http://anda.inec.gob.ec/anda/index.php/catalog/643/download/11189,Descargas/Transportes_2013,zip
Accidentes de transito y vehiculos matriculados 2014,http://anda.inec.gob.ec/anda/index.php/catalog/605/download/10008,Descargas/Transportes_2014,zip
Accidentes de transito y vehiculos matriculados 2015,http://anda.inec.gob.ec/anda/index.php/catalog/637/download/11133,Descargas/Transportes_2015,zip
Accidentes de transito y vehiculos matriculados 2016,http://anda.inec.gob.ec/anda/index.php/catalog/604/download/9993,Descargas/Transportes_2016,zip
